"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_25000","finished","2025-09-13T10:29:10.000Z","122","16","25000","0","8","0.11349999904632568","2.3036160469055176","2.308304786682129","3128","0.11020000278949738","2.3012993335723877"
"sample_12000","finished","2025-09-13T10:28:11.000Z","54","16","12000","0","6","0.09070000052452087","2.306356906890869","2.3084089756011963","1128","0.08839999884366989","2.3030176162719727"
"sample_8000","finished","2025-09-13T10:27:07.000Z","59","16","8000","0","7","0.09449999779462814","2.3069989681243896","2.3067562580108643","875","0.09359999746084212","2.3034451007843018"
"sample_55000","finished","2025-09-13T10:20:28.000Z","395","8","55000","0","15","0.12839999794960022","2.2990505695343018","2.3032381534576416","12900","0.12939999997615814","2.2989799976348877"
"sample_47000","finished","2025-09-13T10:14:55.000Z","327","8","47000","0","15","0.11720000207424164","2.300114870071411","2.3058390617370605","11025","0.11739999800920486","2.2999534606933594"
"sample_40000","finished","2025-09-13T10:09:32.000Z","318","8","40000","0","17","0.13279999792575836","2.300354242324829","2.3070034980773926","10625","0.13420000672340393","2.300131559371948"
"sample_32000","finished","2025-09-13T10:05:05.000Z","262","8","32000","0","19","0.12620000541210177","2.301272392272949","2.2990827560424805","9500","0.1281999945640564","2.3009731769561768"
"sample_25000","finished","2025-09-13T10:03:50.000Z","71","8","25000","0","6","0.0980999991297722","2.311976194381714","2.3104782104492188","2346","0.10819999873638152","2.310342311859131"
"sample_12000","finished","2025-09-13T10:03:07.000Z","40","8","12000","0","6","0.09799999743700027","2.3154962062835693","2.3441481590270996","1128","0.10819999873638152","2.3135101795196533"
"sample_8000","finished","2025-09-13T10:02:26.000Z","39","8","8000","0","6","0.09799999743700027","2.3169281482696533","2.3133342266082764","750","0.10819999873638152","2.3147668838500977"
