"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","2025-09-15T15:05:02.000Z","178","128","55000","42","8","0.11349999904632568","2.294891357421875","2.313589572906494","6880","0.1103999987244606","2.29465913772583"
"sample_47000","finished","2025-09-15T15:02:10.000Z","166","128","47000","42","8","0.11349999904632568","2.295961856842041","2.2948808670043945","5880","0.1103999987244606","2.295696496963501"
"sample_40000","finished","2025-09-15T14:59:38.000Z","146","128","40000","42","8","0.11349999904632568","2.296900510787964","2.2998716831207275","5000","0.1103999987244606","2.296727180480957"
"sample_32000","finished","2025-09-15T14:57:16.000Z","137","128","32000","42","10","0.11349999904632568","2.297001361846924","2.297806739807129","5000","0.1103999987244606","2.2968223094940186"
"sample_25000","finished","2025-09-15T14:55:07.000Z","123","128","25000","42","11","0.11349999904632568","2.297699213027954","2.2908153533935547","4301","0.1103999987244606","2.2974843978881836"
"sample_12000","finished","2025-09-15T14:54:21.000Z","41","128","12000","42","6","0.10100000351667404","2.3011231422424316","2.3010482788085938","1128","0.10620000213384628","2.30080509185791"
"sample_8000","finished","2025-09-15T14:53:42.000Z","34","128","8000","42","6","0.10100000351667404","2.3014564514160156","2.30114221572876","750","0.10620000213384628","2.301173686981201"
"sample_55000","finished","2025-09-15T14:51:26.000Z","130","64","55000","42","6","0.11349999904632568","2.2986555099487305","2.311274290084839","5160","0.1103999987244606","2.298949956893921"
"sample_47000","finished","2025-09-15T14:49:21.000Z","119","64","47000","42","6","0.11349999904632568","2.2991838455200195","2.294045925140381","4410","0.1103999987244606","2.2995097637176514"
"sample_40000","finished","2025-09-15T14:47:24.000Z","111","64","40000","42","6","0.11349999904632568","2.2997002601623535","2.2985055446624756","3750","0.1103999987244606","2.3001701831817627"
"sample_32000","finished","2025-09-15T14:45:43.000Z","96","64","32000","42","6","0.11349999904632568","2.3002378940582275","2.3045542240142822","3000","0.1103999987244606","2.3007731437683105"
"sample_25000","finished","2025-09-15T14:44:25.000Z","73","64","25000","42","6","0.11349999904632568","2.300783634185791","2.3057825565338135","2346","0.1103999987244606","2.3013672828674316"
"sample_12000","finished","2025-09-15T14:43:39.000Z","41","64","12000","42","6","0.1152999997138977","2.3020551204681396","2.3042497634887695","1128","0.1111999973654747","2.3027102947235107"
"sample_8000","finished","2025-09-15T14:42:45.000Z","49","64","8000","42","6","0.11420000344514848","2.302450895309448","2.3087430000305176","750","0.11100000143051147","2.30319881439209"
"sample_55000","finished","2025-09-15T14:39:38.000Z","182","32","55000","42","9","0.11349999904632568","2.2978012561798096","2.317812442779541","7740","0.1103999987244606","2.297250747680664"
"sample_47000","finished","2025-09-15T14:36:36.000Z","177","32","47000","42","10","0.11349999904632568","2.298091173171997","2.2923154830932617","7350","0.1103999987244606","2.2975006103515625"
"sample_40000","finished","2025-09-15T14:33:13.000Z","197","32","40000","42","12","0.11349999904632568","2.298095703125","2.301173686981201","7500","0.1103999987244606","2.297640800476074"
"sample_32000","finished","2025-09-15T14:31:39.000Z","88","32","32000","42","6","0.09870000183582306","2.3016796112060547","2.2959868907928467","3000","0.09960000216960908","2.3010692596435547"
"sample_25000","finished","2025-09-15T14:28:32.000Z","181","32","25000","42","16","0.11349999904632568","2.2990450859069824","2.288557767868042","6256","0.1103999987244606","2.2985196113586426"
"sample_12000","finished","2025-09-15T14:25:02.000Z","204","32","12000","42","33","0.1648000031709671","2.299342155456543","2.2944700717926025","6204","0.1624000072479248","2.2985713481903076"
"sample_8000","finished","2025-09-15T14:22:51.000Z","125","32","8000","42","23","0.13570000231266022","2.3017618656158447","2.304226875305176","2875","0.14139999449253082","2.301039695739746"
"sample_55000","finished","2025-09-15T14:20:23.000Z","146","16","55000","42","6","0.10100000351667404","2.302518606185913","2.3432185649871826","5160","0.10580000281333923","2.301943778991699"
"sample_47000","finished","2025-09-15T14:18:07.000Z","135","16","47000","42","6","0.10100000351667404","2.303131103515625","2.296958923339844","4410","0.10620000213384628","2.302528381347656"
"sample_40000","finished","2025-09-15T14:16:31.000Z","95","16","40000","42","6","0.10100000351667404","2.3038384914398193","2.3098998069763184","3750","0.10620000213384628","2.303307294845581"
"sample_32000","finished","2025-09-15T14:15:06.000Z","84","16","32000","42","6","0.10100000351667404","2.3048219680786133","2.3220391273498535","3000","0.10620000213384628","2.304293632507324"
"sample_25000","finished","2025-09-15T14:13:59.000Z","66","16","25000","42","6","0.10100000351667404","2.3056437969207764","2.2933995723724365","2346","0.10620000213384628","2.305096387863159"
"sample_12000","finished","2025-09-15T14:13:21.000Z","37","16","12000","42","6","0.10100000351667404","2.3079190254211426","2.2879478931427","1128","0.10620000213384628","2.3073346614837646"
"sample_8000","finished","2025-09-15T14:12:48.000Z","32","16","8000","42","6","0.10100000351667404","2.308704376220703","2.3245255947113037","750","0.10620000213384628","2.308155298233032"
"sample_55000","finished","2025-09-15T14:10:41.000Z","126","8","55000","42","7","0.11349999904632568","2.302311658859253","2.321152448654175","6020","0.1103999987244606","2.3036904335021973"
"sample_47000","finished","2025-09-15T14:08:35.000Z","125","8","47000","42","8","0.11349999904632568","2.3023993968963623","2.295021295547486","5880","0.1103999987244606","2.303783893585205"
"sample_40000","finished","2025-09-15T14:06:54.000Z","100","8","40000","42","8","0.11349999904632568","2.302990436553955","2.3099989891052246","5000","0.1103999987244606","2.3046891689300537"
"sample_32000","finished","2025-09-15T14:05:28.000Z","86","8","32000","42","9","0.11349999904632568","2.3033926486968994","2.313120126724243","4500","0.1103999987244606","2.3052239418029785"
"sample_25000","finished","2025-09-15T14:03:59.000Z","88","8","25000","42","10","0.11349999904632568","2.3038437366485596","2.2877039909362793","3910","0.1103999987244606","2.3058247566223145"
"sample_12000","finished","2025-09-15T14:03:29.000Z","29","8","12000","42","6","0.09929999709129332","2.3072726726531982","2.3028206825256348","1128","0.0957999974489212","2.31021785736084"
"sample_8000","finished","2025-09-15T14:02:58.000Z","30","8","8000","42","6","0.09769999980926514","2.3080830574035645","2.3004462718963623","750","0.094200000166893","2.311239004135132"
"sample_55000","finished","2025-09-17T07:10:19.000Z","10770","1024","55000","1","242","0.9678999781608582","0.1095920130610466","0.0988759770989418","208120","0.9631999731063844","0.1248355582356453"
"sample_47000","finished","2025-09-16T14:47:53.000Z","461","1024","47000","1","12","0.4848000109195709","2.101595401763916","2.0948736667633057","8820","0.4814000129699707","2.1058332920074463"
