run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
aaro769v,sample_55000,1000,"(64, 64, 64, 64)",64,64,64,64,10,5.6051973e-05,0.00061741367,0.0013906807,-0.0006782989,0.000210445,0.020621516,0.072289884,0.07176318,0.07224061,0.07075369,0.08591468632221222,0.08144890516996384,0.24422488
vbdi3ixz,sample_8000,1000,"(128, 128, 128, 128)",128,128,128,128,10,9.024466e-06,0.00079301273,-0.000121369085,-0.00037682016,-0.0020959682,0.02057598,0.051298328,0.05094648,0.051009916,0.051487464,0.07766305655241013,0.08099968731403351,0.19570968
13kea409,sample_12000,1000,"(128, 128, 128, 128)",128,128,128,128,10,1.2749696e-05,0.0007947361,-0.00012404856,-0.00038083718,-0.0020959643,0.020576302,0.051299058,0.05094713,0.05101044,0.051497366,0.07831532508134842,0.08123679459095001,0.198919
k9c2my76,sample_25000,1000,"(128, 128, 128, 128)",128,128,128,128,10,1.21622625e-05,0.0007941077,-0.000124426,-0.00038073008,-0.0020959645,0.02057623,0.0512989,0.05094693,0.0510102,0.051493514,0.07818947732448578,0.08119224011898041,0.19823986
cqpyvjul,sample_32000,1000,"(128, 128, 128, 128)",128,128,128,128,10,1.3752129e-05,0.00079523993,-0.00012465913,-0.00038097656,-0.0020959657,0.020576412,0.051299315,0.05094737,0.051010665,0.051500242,0.07848837971687317,0.08132265508174896,0.19944656
llt2vild,sample_40000,1000,"(128, 128, 128, 128)",128,128,128,128,10,1.2510494e-05,0.00079445087,-0.0001245026,-0.00038048864,-0.0020959645,0.02057628,0.05129901,0.050947048,0.05101031,0.051495813,0.07826635986566544,0.08122020959854126,0.19853574
bwalt1v4,sample_47000,1000,"(128, 128, 128, 128)",128,128,128,128,10,5.0245493e-05,0.00082694367,-0.00011355494,-0.00037240493,-0.0020959575,0.020581612,0.051311538,0.05096023,0.051024444,0.05170013,0.08563359081745148,0.08506926149129868,0.22757538
1fd9c9jt,sample_55000,1000,"(128, 128, 128, 128)",128,128,128,128,10,5.0703853e-05,0.0008274169,-0.00011346649,-0.00037197763,-0.0020959587,0.020581676,0.051311687,0.050960377,0.051024605,0.051704153,0.08568411320447922,0.08512626588344574,0.22787125
lqkwn22w,sample_8000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.516149e-05,-4.607639e-05,9.3686074e-05,-0.000117355194,0.00085486437,0.020592466,0.036033046,0.0359616,0.03602564,0.03620139,0.0799667239189148,0.08487903326749802,0.18066725
u44kric3,sample_12000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.628878e-05,-4.4399752e-05,9.5105104e-05,-0.00011723667,0.00085486507,0.02059266,0.03603341,0.03596197,0.036026012,0.03621177,0.08023948967456818,0.08501733839511871,0.18177347
fyagztpf,sample_25000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.8469603e-05,-4.210131e-05,9.712513e-05,-0.00011676285,0.000854866,0.020593021,0.036034077,0.03596263,0.036026675,0.036232043,0.08073709160089493,0.08530177175998688,0.18357928
yxiqif79,sample_32000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.7816495e-05,-4.284026e-05,9.6423915e-05,-0.000117268995,0.0008548653,0.020592922,0.036033887,0.03596244,0.036026463,0.036224034,0.08058544248342514,0.08521857112646103,0.18297227
ew70uutd,sample_40000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.8520102e-05,-4.1940002e-05,9.7457654e-05,-0.000117310425,0.0008548653,0.020593034,0.0360341,0.03596265,0.03602671,0.036229696,0.08075185865163803,0.08530298620462418,0.18367131
mc5e1a6z,sample_47000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.746494e-05,-4.308542e-05,9.6329626e-05,-0.00011739769,0.0008548653,0.020592887,0.036033824,0.035962377,0.036026414,0.03622164,0.08052514493465424,0.08517831563949585,0.18280286
92l8pqr4,sample_55000,1000,"(256, 256, 256, 256)",256,256,256,256,10,3.5613568e-05,-4.524002e-05,9.425853e-05,-0.00011779667,0.00085486344,0.020592604,0.0360333,0.035961855,0.036025867,0.036206055,0.08011437207460403,0.08495974540710449,0.18123439
cnpjwjsx,sample_8000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.0496549e-05,4.3731176e-05,-5.7351466e-05,-4.2678366e-05,0.0006773101,0.020582624,0.025500618,0.025508167,0.02547972,0.025525799,0.07858555018901825,0.0848018005490303,0.16988182
3i5vdwi3,sample_12000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.0796376e-05,4.407492e-05,-5.704118e-05,-4.2575884e-05,0.00067731005,0.020582655,0.02550066,0.025508216,0.02547977,0.025528993,0.07864831387996674,0.0848320871591568,0.17006317
sxg5qncc,sample_25000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.0226618e-05,4.3487107e-05,-5.769032e-05,-4.2601783e-05,0.00067730935,0.020582592,0.02550058,0.025508124,0.025479684,0.025523804,0.07852676510810852,0.08477295935153961,0.1696701
hohbzhy0,sample_32000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.0536716e-05,4.385121e-05,-5.728216e-05,-4.2552314e-05,0.00067730964,0.02058263,0.02550063,0.02550818,0.02547974,0.025527008,0.0785939022898674,0.08480489999055862,0.169895
w7ax8pmt,sample_40000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.0985657e-05,4.437132e-05,-5.6807618e-05,-4.2569347e-05,0.0006773101,0.020582689,0.0255007,0.025508258,0.02547982,0.025530985,0.0786912590265274,0.08485138416290283,0.17023167
6tk14a2w,sample_47000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.1479301e-05,4.4947257e-05,-5.631669e-05,-4.2461335e-05,0.00067731034,0.02058275,0.025500774,0.025508342,0.025479902,0.025535831,0.0787966400384903,0.08490270376205444,0.17059532
5t2i5bki,sample_47000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.1479301e-05,4.4947257e-05,-5.631669e-05,-4.2461335e-05,0.00067731034,0.02058275,0.025500774,0.025508342,0.025479902,0.025535831,0.0787966400384903,0.08490270376205444,0.17059518
twuplzpx,sample_55000,1000,"(512, 512, 512, 512)",512,512,512,512,10,1.02705e-05,4.3570984e-05,-5.764333e-05,-4.2647356e-05,0.0006773096,0.020582598,0.025500592,0.025508134,0.025479695,0.02552408,0.07853876799345016,0.08477912843227386,0.16973892
