run_id,run_name,test_accuracy,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
0fdlzpr0,sample_47000,0.13199999928474426,1000,"(16, 16, 16)",16,16,16,16,16,10,-8.577336e-05,0.0075267563,-0.008308658,-0.0008166791,0.0019783578,0.0501327,0.14522287,0.14237379,0.14566994,0.14614734,0.1683138608932495,0.14864113926887512,0.5292544
8rmmsjp5,sample_55000,0.2842000126838684,1000,"(16, 16, 16)",16,16,16,16,16,10,-8.577336e-05,0.0013299184,0.005180512,0.011656487,0.001978542,0.0501327,0.17172287,0.17229521,0.17647941,0.19634144,0.32291898131370544,0.23480546474456787,0.6688961
0g02rq2t,sample_8000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030875532,0.00018606673,-0.005303015,-0.008770024,0.04957292,0.10226886,0.102425694,0.10186664,0.10079856,0.09804467856884003,0.11068053543567657,0.28818092
sz2cifet,sample_12000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030856684,0.00018657139,-0.0053045675,-0.0087700235,0.04957292,0.10226867,0.10242529,0.10186577,0.10079584,0.09803001582622528,0.11067420989274979,0.28818536
aqh2y5qh,sample_25000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030753633,0.00018974696,-0.0053091864,-0.008770022,0.04957292,0.10226871,0.10242459,0.10186346,0.100788414,0.09798312187194824,0.11065791547298431,0.28823924
7l6qo7f2,sample_32000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030731957,0.00019097514,-0.00531068,-0.008770021,0.04957292,0.10226881,0.10242431,0.10186253,0.100786164,0.09796510636806488,0.11065249145030975,0.28824982
7efcldm3,sample_40000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030686695,0.00019363977,-0.0053143124,-0.008770019,0.04957292,0.10226917,0.10242425,0.10186144,0.100781046,0.09794941544532776,0.11064978688955307,0.2883088
4orm21tp,sample_47000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030633248,0.00019581837,-0.0053167827,-0.008770017,0.04957292,0.10226958,0.102424264,0.101860516,0.10077796,0.09793253242969513,0.11064733564853668,0.2883649
f3a4x81d,sample_55000,0.10279999673366548,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00013411658,0.00030603702,0.00019778381,-0.0053199474,-0.008770016,0.04957292,0.1022697,0.10242401,0.10185947,0.10077499,0.09791404753923416,0.11064144968986511,0.2883973
zafnopr9,sample_8000,0.21299999952316284,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0017412041,0.00030039478,3.529647e-05,0.00559197,0.048515327,0.07219828,0.072475865,0.07238751,0.07278976,0.12437943369150162,0.12333156168460846,0.31503254
