run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
4r8oqidm,sample_32000,0.7278000116348267,1000,"(512, 512, 512)",512,512,512,10,0.00064430863,0.0006851602,0.0004619623,0.00043106097,0.020786492,0.025723403,0.025725875,0.03552712,0.21633568406105042,0.15856024622917175,0.47771853
wmjl1smz,sample_40000,0.8058000206947327,1000,"(512, 512, 512)",512,512,512,10,0.00087217917,0.0009502745,0.0006676819,0.00043106568,0.02091338,0.025883717,0.02589163,0.041448854,0.27382850646972656,0.18764963746070862,0.48656815
896s61kj,sample_47000,0.8413000106811523,1000,"(512, 512, 512)",512,512,512,10,0.0009736908,0.0010690055,0.000757348,0.00043106955,0.02099038,0.025980605,0.025991296,0.044632275,0.29941174387931824,0.20049843192100525,0.4752518
k572ezq8,sample_55000,0.8626000285148621,1000,"(512, 512, 512)",512,512,512,10,0.0010383073,0.0011464613,0.00081366056,0.00043107755,0.021053307,0.026059464,0.026072165,0.047057133,0.31570571660995483,0.20858028531074524,0.46346468
g0ozoxzu,sample_8000,0.11349999904632568,1000,"(8, 8, 8)",8,8,8,8,-0.000106568965,0.022519248,0.019606933,-0.04028963,0.020662883,0.19189352,0.19662367,0.18827714,0.05969548970460892,0.07267125695943832,0.6023838
2co1lls8,sample_12000,0.11349999904632568,1000,"(8, 8, 8)",8,8,8,8,-9.4119525e-05,0.022525376,0.019596681,-0.04028963,0.02066381,0.19190247,0.19664115,0.18827635,0.06116269901394844,0.07386410236358643,0.59542155
xbc68s1t,sample_25000,0.29420000314712524,1000,"(8, 8, 8)",8,8,8,8,0.0016476557,0.032707784,0.031155821,-0.04028957,0.022070633,0.20610046,0.21319018,0.2060482,0.458947092294693,0.3266046643257141,0.8523414
mpfaskry,sample_32000,0.2994000017642975,1000,"(8, 8, 8)",8,8,8,8,0.0019009963,0.035079986,0.03329218,-0.040289603,0.022440277,0.20983636,0.21735513,0.21050106,0.5250755548477173,0.36304429173469543,0.85978013
c1iw55iu,sample_40000,0.3702999949455261,1000,"(8, 8, 8)",8,8,8,8,0.003872369,0.053295307,0.051027283,-0.0402895,0.026033008,0.24646585,0.25598362,0.25166103,1.0211164951324463,0.6462332606315613,0.85166883
1s87bhgd,sample_47000,0.4271000027656555,1000,"(8, 8, 8)",8,8,8,8,0.004799165,0.06312058,0.059472054,-0.040289477,0.027869826,0.26494208,0.27555123,0.27151763,1.2545969486236572,0.7543517351150513,0.8274286
us92du3r,sample_55000,0.486299991607666,1000,"(8, 8, 8)",8,8,8,8,0.005850663,0.074826434,0.06930182,-0.040289342,0.02972412,0.28333515,0.2951584,0.2909417,1.5283706188201904,0.8472501039505005,0.81336725
67jenx9o,sample_8000,0.11599999666213988,1000,"(16, 16, 16)",16,16,16,10,0.00022745604,0.008881638,0.0073747598,0.00960193,0.020759173,0.14203756,0.14895865,0.14860675,0.12859022617340088,0.10370936989784241,0.66983867
wnrfrg4j,sample_12000,0.1662999987602234,1000,"(16, 16, 16)",16,16,16,10,0.0005391469,0.009473221,0.007734785,0.009601938,0.020919336,0.14318947,0.15003385,0.15033881,0.19254238903522491,0.1457594633102417,0.76515096
3m76nktp,sample_25000,0.2379000037908554,1000,"(16, 16, 16)",16,16,16,10,0.0010974315,0.011562924,0.010048833,0.009601938,0.021418877,0.14678235,0.1536487,0.1565358,0.313584566116333,0.22794166207313538,0.8427181
dt089sge,sample_32000,0.3598000109195709,1000,"(16, 16, 16)",16,16,16,10,0.0026014724,0.01983986,0.021586567,0.009601995,0.02373418,0.16343145,0.16997088,0.18414457,0.6814035177230835,0.4532574713230133,0.85127866
7h1j9vfk,sample_40000,0.5771999955177307,1000,"(16, 16, 16)",16,16,16,10,0.0035004118,0.024775736,0.02812213,0.009601997,0.025422415,0.17562719,0.18172635,0.20332468,0.9290502071380615,0.588411808013916,0.77110755
sx17dbly,sample_47000,0.6780999898910522,1000,"(16, 16, 16)",16,16,16,10,0.0042096153,0.02931597,0.03244712,0.009602,0.027085612,0.1875471,0.19343708,0.2214553,1.142936110496521,0.6999896764755249,0.69975424
onnr4h62,sample_55000,0.7215999960899353,1000,"(16, 16, 16)",16,16,16,10,0.004843806,0.033744946,0.036525577,0.009602021,0.028698672,0.1990223,0.20461953,0.2382711,1.3349934816360474,0.7964003682136536,0.6489824
ldiz3v1z,sample_8000,0.0957999974489212,1000,"(32, 32, 32)",32,32,32,10,-6.975922e-06,0.0034380234,-0.00082371116,0.0027365645,0.020646414,0.099151835,0.10523214,0.103003584,0.07119621336460114,0.07274328172206879,0.31497502
59h5nqoo,sample_12000,0.16369999945163727,1000,"(32, 32, 32)",32,32,32,10,0.00028029864,0.0037808092,-0.0004904353,0.0027365643,0.020707631,0.09946462,0.10556802,0.104156144,0.12259303033351898,0.10934653878211975,0.49932748
k63zqx80,sample_25000,0.3549000024795532,1000,"(32, 32, 32)",32,32,32,10,0.000680396,0.0048833257,0.0009995587,0.0027365887,0.020890174,0.10040135,0.10658699,0.10820575,0.20457276701927185,0.16641047596931458,0.6417676
kfzyzpe7,sample_32000,0.482699990272522,1000,"(32, 32, 32)",32,32,32,10,0.0014620996,0.009071017,0.0052311514,0.002736599,0.021646373,0.10419124,0.11060459,0.12265966,0.3776191473007202,0.29269924759864807,0.74725884
o0wns60r,sample_40000,0.6049000024795532,1000,"(32, 32, 32)",32,32,32,10,0.0022035139,0.013447333,0.00922139,0.0027366043,0.022738818,0.10964212,0.11622785,0.1406224,0.5773710012435913,0.4097079634666443,0.7265037
6yha0uob,sample_47000,0.6496000289916992,1000,"(32, 32, 32)",32,32,32,10,0.002922481,0.017595155,0.012377663,0.002736618,0.023965618,0.11576492,0.12251984,0.15850092,0.7779672145843506,0.5090190172195435,0.6921037
m4rkjs39,sample_55000,0.741100013256073,1000,"(32, 32, 32)",32,32,32,10,0.0034754921,0.021034516,0.014760273,0.0027366672,0.025070831,0.12122912,0.12809409,0.17300312,0.9279441833496094,0.578062891960144,0.6635593
fhc6niq8,sample_8000,0.1876000016927719,1000,"(64, 64, 64)",64,64,64,10,5.4596843e-05,0.00063068204,0.0013607589,-0.0005947292,0.020620232,0.07228537,0.07176239,0.07245396,0.08379528671503067,0.08089761435985565,0.23919153
aq9ogd6i,sample_12000,0.298799991607666,1000,"(64, 64, 64)",64,64,64,10,0.0001919848,0.00077601324,0.0014215392,-0.00059472193,0.020645346,0.07237425,0.07186355,0.07316706,0.11034291237592697,0.09648841619491577,0.33535162
ma8yk4qj,sample_25000,0.3785000145435333,1000,"(64, 64, 64)",64,64,64,10,0.00043514994,0.0012019179,0.0016295544,-0.00059470924,0.020719238,0.072640024,0.07216067,0.07518061,0.16385474801063538,0.1263648271560669,0.4958432
0160bl76,sample_32000,0.4483000040054322,1000,"(64, 64, 64)",64,64,64,10,0.0004619865,0.0012588552,0.0016534603,-0.0005947057,0.020727795,0.0726709,0.07219429,0.075392745,0.16978120803833008,0.12957604229450226,0.508839
ngsduj2l,sample_40000,0.6385999917984009,1000,"(64, 64, 64)",64,64,64,10,0.001938142,0.005699401,0.005466492,-0.0005946982,0.021879943,0.076809965,0.07661353,0.101934396,0.5350767374038696,0.3315868377685547,0.68789953
9eaav9rx,sample_47000,0.746399998664856,1000,"(64, 64, 64)",64,64,64,10,0.0024543314,0.007426134,0.0068586436,-0.00059469166,0.022626588,0.07947193,0.0793871,0.11544098,0.6760213375091553,0.40666472911834717,0.63874507
80rnps6b,sample_55000,0.8044000267982483,1000,"(64, 64, 64)",64,64,64,10,0.0028301608,0.008672044,0.007874572,-0.00059469126,0.023284275,0.08181084,0.08180218,0.12623373,0.776660680770874,0.4581958055496216,0.596365
ch2ycpcy,sample_8000,0.28679999709129333,1000,"(128, 128, 128)",128,128,128,10,3.716399e-05,0.0008292536,-0.00011855093,-0.00061062037,0.020580972,0.051310275,0.050960142,0.04977927,0.08427943289279938,0.08415749669075012,0.2126745
phzxy6y3,sample_12000,0.34290000796318054,1000,"(128, 128, 128)",128,128,128,10,5.778434e-05,0.0008556852,-0.00011019898,-0.00061061984,0.020584948,0.051319707,0.050970703,0.049916547,0.08888959884643555,0.08662714809179306,0.22953942
