run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
xkefl3hs,sample_8000,1000,"(32, 32, 32)",32,32,32,10,0.0006261384,0.0041459254,0.00410203,-0.00070784317,0.020901091,0.1021462,0.10371637,0.107074566,0.21925774216651917,0.17300677299499512,0.5299152
8v0fgn35,sample_12000,1000,"(32, 32, 32)",32,32,32,10,0.000513162,0.0038319086,0.003782489,-0.0007078379,0.020838615,0.101827696,0.103356555,0.105671205,0.19382795691490173,0.15744128823280334,0.51586956
pagpx32d,sample_25000,1000,"(32, 32, 32)",32,32,32,10,0.004592907,0.02520622,0.024101289,-0.00070780667,0.028958982,0.14238521,0.14468548,0.21723874,1.2938334941864014,0.7795287370681763,0.5472802
yq22ws3k,sample_32000,1000,"(1024, 1024, 1024)",784,1024,1024,10,0.00049576035,0.00063711574,0.00047898357,-0.00017776382,0.021228276,0.01856431,0.018580955,0.04873426,0.2145615667104721,0.17071613669395447,0.3188641
y42wv73j,sample_32000,1000,"(32, 32, 32)",32,32,32,10,0.0037462611,0.026178028,0.024709612,-0.00070773915,0.032041688,0.15709953,0.15945448,0.24872378,1.204758882522583,0.7734166383743286,0.4948888
p6wehude,sample_40000,1000,"(32, 32, 32)",32,32,32,10,0.0031395138,0.026710914,0.025481565,-0.0007075036,0.034171768,0.16729735,0.16948141,0.2693882,1.153476357460022,0.7758868932723999,0.48329854
nfpwf7jd,sample_40000,1000,"(1024, 1024, 1024)",784,1024,1024,10,0.00048372982,0.00063741714,0.0004821369,-0.000177762,0.021233942,0.018568983,0.018585414,0.048904393,0.21370534598827362,0.17084652185440063,0.31631055
agjrybnf,sample_47000,1000,"(32, 32, 32)",32,32,32,10,0.0034106122,0.026568826,0.025111005,-0.000707595,0.032994296,0.1616018,0.16388711,0.257918,1.1659507751464844,0.7735878825187683,0.48840636
phf1mw0p,sample_55000,1000,"(32, 32, 32)",32,32,32,10,0.0028849714,0.02681816,0.025740337,-0.00070734276,0.03463019,0.16945052,0.17156835,0.27361575,1.1222178936004639,0.7777711153030396,0.48061913
kfdri1vi,sample_8000,1000,"(64, 64, 64)",64,64,64,10,0.0030359426,0.009659907,0.009436311,-0.0027072534,0.025146667,0.08811722,0.08832404,0.15290865,0.8563414812088013,0.5286794304847717,0.5284447
