run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
5rb0glr4,sample_40000,0.11349999904632568,1000,"(128, 128, 128, 128)",128,128,128,128,10,8.004618e-05,0.00015853038,6.872977e-05,9.8395554e-05,0.0011895349,0.020638049,0.050910164,0.051095635,0.051274657,0.0515065,0.085243359208107,0.08986978232860565,0.22019577
akj68mnu,sample_47000,0.11349999904632568,1000,"(128, 128, 128, 128)",128,128,128,128,10,7.577536e-05,0.00015376438,6.7349785e-05,9.76795e-05,0.0011895323,0.020637613,0.05090903,0.051094465,0.05127358,0.051489238,0.0845300555229187,0.0894821286201477,0.2172159
l22pyw0x,sample_55000,0.11429999768733978,1000,"(128, 128, 128, 128)",128,128,128,128,10,7.667607e-05,0.0001547386,6.764667e-05,9.769075e-05,0.0011895332,0.020637704,0.05090927,0.05109471,0.051273804,0.051492896,0.08467935770750046,0.08956272900104523,0.21790093
f8ypfes3,sample_8000,0.08919999748468399,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.5694174e-05,-0.0002884799,6.253444e-05,-0.00022494886,0.00051811896,0.020626571,0.036182854,0.036019746,0.036065552,0.036058042,0.08268141746520996,0.08812975883483887,0.17355171
2jrstx8a,sample_12000,0.27630001306533813,1000,"(256, 256, 256, 256)",256,256,256,256,10,5.3267053e-05,-0.00027643173,6.288229e-05,-0.00022278802,0.0005181241,0.020627838,0.03618523,0.03602224,0.03606843,0.036134064,0.08426080644130707,0.08910281956195831,0.17756148
y6nl6kb3,sample_25000,0.1315000057220459,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.9076676e-05,-0.00028189353,6.1337305e-05,-0.0002249807,0.000518122,0.0206272,0.036184028,0.036021028,0.03606714,0.03609391,0.08339208364486694,0.08862660825252533,0.17527011
buq8tsqg,sample_32000,0.13609999418258667,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.827094e-05,-0.0002830078,6.0878483e-05,-0.00022529275,0.00051812216,0.020627072,0.03618379,0.036020778,0.036066826,0.036085445,0.08322471380233765,0.08852409571409225,0.17484562
yd44c2xq,sample_40000,0.13359999656677246,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.8201717e-05,-0.0002830379,6.0940252e-05,-0.00022523994,0.00051812234,0.02062707,0.036183786,0.036020786,0.036066838,0.03608636,0.08321176469326019,0.08851993083953857,0.174853
dc8z7sgb,sample_47000,0.1339000016450882,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.9900074e-05,-0.00028054413,6.159129e-05,-0.00022477805,0.00051812263,0.020627335,0.03618428,0.036021296,0.036067445,0.036103226,0.0835675299167633,0.0887255072593689,0.17579296
aj6gj9q2,sample_55000,0.13670000433921814,1000,"(256, 256, 256, 256)",256,256,256,256,10,4.853362e-05,-0.000282463,6.1160696e-05,-0.00022514607,0.0005181218,0.020627119,0.03618387,0.036020875,0.036066957,0.036090564,0.0832795575261116,0.08855671435594559,0.17499122
4nx02f6a,sample_8000,0.2574000060558319,1000,"(512, 512, 512, 512)",512,512,512,512,10,-8.961945e-06,-7.910412e-06,-6.194873e-05,-6.400265e-05,-0.0002409711,0.020625494,0.025504619,0.025494536,0.02551418,0.025283948,0.0786467120051384,0.08653752505779266,0.1713843
f5ycs7ou,sample_12000,0.5277000069618225,1000,"(512, 512, 512, 512)",512,511,512,512,10,0.0002134161,0.00021192318,0.000107549175,7.022569e-05,-0.00024096013,0.020665167,0.025554672,0.025546627,0.025570093,0.028432397,0.12630397081375122,0.11172124743461609,0.3317563
d9u1pftu,sample_25000,0.1590999960899353,1000,"(512, 512, 512, 512)",512,512,512,512,10,-1.1720177e-05,-1.0401779e-05,-6.429484e-05,-6.5119806e-05,-0.0002409711,0.020625137,0.025504189,0.025494082,0.025513683,0.025254197,0.07805921137332916,0.08622728288173676,0.16913602
2gy46u34,sample_32000,0.17090000212192535,1000,"(512, 512, 512, 512)",512,512,512,512,10,-1.129365e-05,-9.99181e-06,-6.379943e-05,-6.4903026e-05,-0.0002409716,0.0206252,0.025504263,0.025494164,0.02551377,0.025259696,0.07815420627593994,0.08627700805664062,0.16947648
qg0pxbbx,sample_40000,0.15800000727176666,1000,"(512, 512, 512, 512)",512,512,512,512,10,-1.2924945e-05,-1.14833e-05,-6.545072e-05,-6.554938e-05,-0.00024097264,0.020624977,0.025503993,0.025493879,0.02551345,0.025241014,0.07778741419315338,0.08608879148960114,0.16807309
ry6r5esm,sample_47000,0.16859999299049375,1000,"(512, 512, 512, 512)",512,512,512,512,10,-1.2100093e-05,-1.0739626e-05,-6.461926e-05,-6.520027e-05,-0.00024097218,0.020625088,0.025504127,0.025494024,0.025513612,0.025250485,0.07797232270240784,0.08618493378162384,0.16875425
2uwnllch,sample_55000,0.2029000073671341,1000,"(512, 512, 512, 512)",512,512,512,512,10,-1.1031454e-05,-9.745168e-06,-6.355115e-05,-6.478317e-05,-0.00024097157,0.020625234,0.025504302,0.025494209,0.025513818,0.025262708,0.07820870727300644,0.0863092690706253,0.16964954
4klqhpgp,sample_8000,0.2962999939918518,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,-5.550009e-06,-2.4038318e-05,-1.2307276e-05,5.386993e-06,5.2794785e-05,0.020619247,0.018035574,0.01804501,0.018032072,0.018116083,0.07548453658819199,0.0845201164484024,0.16273129
qh8vanlc,sample_12000,0.912500023841858,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1023,10,0.0005985225,0.0005802829,0.00047999716,0.00043398354,5.2847878e-05,0.020921016,0.018299546,0.018313874,0.018306345,0.037352044,0.21798977255821228,0.158633291721344,0.37478757
vc0ivgnv,sample_25000,0.22789999842643735,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,-6.0387156e-06,-2.4588591e-05,-1.2808672e-05,5.13103e-06,5.2794312e-05,0.020619197,0.018035527,0.018044965,0.018032022,0.01810947,0.0753883495926857,0.0844695121049881,0.16248761
lzmbuynm,sample_32000,0.27399998903274536,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,-5.8999667e-06,-2.4459958e-05,-1.2684737e-05,5.1999186e-06,5.279437e-05,0.020619212,0.01803554,0.018044977,0.018032035,0.018110845,0.07541537284851074,0.08448365330696106,0.16257094
gw1tzz3e,sample_40000,0.2612000107765198,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,-6.230249e-06,-2.4802166e-05,-1.2956941e-05,5.026007e-06,5.2794563e-05,0.020619174,0.018035509,0.018044945,0.018032001,0.01810711,0.0753517746925354,0.08444926887750626,0.1623635
aqsl9tpc,sample_47000,0.9653000235557556,1000,"(1024, 1024, 1024, 1024)",784,1023,1024,1024,10,0.00040161167,0.00060978153,0.00051952765,0.00047152257,5.297067e-05,0.021130623,0.018476881,0.018490514,0.018483134,0.04545932,0.19504275918006897,0.15705960988998413,0.31774178
mhm2qszc,sample_55000,0.971400022506714,1000,"(1024, 1024, 1024, 1024)",784,1023,1024,1024,10,0.0003807601,0.000621972,0.0005329959,0.00048648455,5.3014082e-05,0.021195773,0.018532753,0.018545995,0.018538358,0.047716938,0.194076806306839,0.15828442573547363,0.30672747
